ID,ID (letter),Name,Year,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening,Author
214,,Downtown Los Angeles Streetcar,2013,AR16,AR16,AR16,AR16,AR16,AR16,NAV,
215,,BART Airport Extension ,1997,AR99,AR99,AR99,AR99,AR99,AR99,AR99,
215,,BART Airport Extension ,1997,AR05,AR05,AR05,AR05,AR05,AR05,AR05,
215,,BART Airport Extension ,2003,AR97,AR97,AR97,AR97,AR97,AR97,NAV,
216,,San Francisco (Bayshore) ,1996,AR98,AR98,AR98,AR98,AR98,AR98,AR98,
217,,Central Subway LRT ,2002,AR04,AR04,AR04,AR04,AR04,AR04,AR04,
217,,Central Subway LRT ,2009,AR11,AR11,AR11,AR11,AR11,AR11,AR11,
218,,Third Street Light Rail Phase 1 ,1996,AR02,AR02,AR02,AR02,AR02,AR02,AR02,
218,,Third Street Light Rail Phase 2,2000,AR02,AR02,AR02,AR02,AR02,AR02,AR02,
219,,Third Street Light Rail Phase 2 – Central Subway,2002,AR13,AR13,AR13,AR13,AR13,AR13,AR13,
219,,Third Street Light Rail Phase 2 – Central Subway,2010,AR13,AR13,AR13,AR13,AR13,AR13,AR13,
219,,Third Street Light Rail Phase 2 – Central Subway,2012,AR15,AR15,AR15,AR15,AR15,AR15,AR15,
220,,Van Ness Avenue BRT ,2007,AR14,AR14,AR14,AR14,AR14,AR14,AR14,
220,,Van Ness Avenue BRT ,2016,AR16,AR16,AR16,AR16,AR16,AR16,AR16,
221,,Transbay Corridor ,2015,PP19,PP19,PP19,PP19,PP19,PP19,PP19,
221,,Transbay Corridor ,2019,PP19,PP19,PP19,PP19,PP19,PP19,PP19,
222,,South corridor (IOS-1),1997,AR99,AR99,AR99,AR99,AR99,AR99,AR99,
222,,South corridor (IOS-1),1997,AR02,AR02,AR02,AR02,AR02,AR02,AR02,
223,,South  Corridor Phase Light Rail Transit Extension,2005,AR14,AR14,AR14,AR14,AR14,AR14,AR14,
223,,South  Corridor Phase Light Rail Transit Extension,2012,AR07,AR07,AR07,AR07,AR07,AR07,NAV,
224,,Downtown Riverfront Streetcar,2014,AR16,AR16,AR16,AR16,AR16,AR16,AR16,
225,,Tasman LRT (West Extension),1992,AR95,AR95,AR95,AR95,AR95,AR95,NAV,
226,,Tasman LRT (West Extension) Phase 2,1992,AR98,AR98,AR98,AR98,AR98,AR98,AR98,
226,,Tasman LRT (West Extension) Phase 3,1996,AR02,AR02,AR02,AR02,AR02,AR02,AR02,
226,,Tasman LRT (West Extension) Phase 1,1999,AR97,AR97,AR97,AR97,AR97,AR97,NAV,
227,,El Camino Real Corridor BRT Project ,2014,AR15,AR15,AR15,AR15,AR15,AR15,AR15,
228,,Silicon Valley Berryessa Extension Project,2002,AR14,AR14,AR14,AR14,AR14,AR14,AR14,
228,,Silicon Valley Berryessa Extension Project,2011,AR04,AR04,AR04,AR04,AR04,AR04,NAV,
228,,Silicon Valley Berryessa Extension Project,2012,AR13,AR13,AR13,AR13,AR13,AR13,NAV,
229,,Silicon Valley Phase II,2016,PP18,AR18,PP18,AR18,AR18,AR18,PP18,
230,,Mid Coast Corridor (LR),1996,AR98,AR98,AR98,AR98,AR98,AR98,NAV,
231,,Oceanside-Escondido Rail Corridor ,2000,AR00,AR00,AR00,AR00,AR00,AR00,NAV,
232,,I-405/SR-55 Transitway and Direct Access HOV Ramps ,1998,AR98,AR98,AR98,AR98,AR98,AR98,AR98,
233,,CenterLine LRT Project ,1998,AR02,AR02,AR02,AR02,AR02,AR02,NAV,
234,,"San Diego County, California/Mission Valley East ",1998,AR04,AR04,AR04,AR04,AR04,AR04,AR04,
234,,"San Diego County, California/Mission Valley East ",1998,AR07,AR07,AR07,AR07,AR07,AR07,AR07,
234,,"San Diego County, California/Mission Valley East ",2000,AR00,AR00,AR00,AR00,AR00,AR00,NAV,
234,,"San Diego County, California/Mission Valley East ",2005,AR01,AR01,AR01,AR01,AR01,AR01,NAV,
235,,Mid-Coast Corridor Transit Project,2011,AR14,AR14,AR14,AR14,AR14,AR14,AR14,
235,,Mid-Coast Corridor Transit Project,2012,AR14,AR14,AR14,AR14,AR14,AR14,AR14,
235,,Mid-Coast Corridor Transit Project,2015,PP20,PP20,PP20,AR17,AR17,AR17,PP20,
235,,Mid-Coast Corridor Transit Project,2016,PP20,PP20,PP20,AR18,AR18,AR18,PP20,
235,,Mid-Coast Corridor Transit Project,2016,PP20,PP20,PP20,PP20,PP20,PP20,PP20,
236,,Caltrain Peninsula Corridor Electrification Project ,2015,AR17,AR17,AR17,AR17,AR17,AR17,NAV,
236,,Caltrain Peninsula Corridor Electrification Project ,2016,PP20,PP20,PP20,PP20,PP20,PP20,PP20,
236,,Caltrain Peninsula Corridor Electrification Project ,2017,PP20,PP20,PP20,PP20,PP20,PP20,PP20,
237,,Blackstone/Kings Canyon Bus Rapid Transit,2010,AR15,AR15,AR15,AR15,AR15,AR15,AR15,
237,,Blackstone/Kings Canyon Bus Rapid Transit,2015,AR16,AR17,AR16,AR16,AR16,AR16,AR16,
238,,Garden Grove Streetcar,2015,AR15,AR15,AR15,AR15,AR15,AR15,PP19,
238,,Garden Grove Streetcar,2016,AR16,AR16,AR16,AR16,AR16,AR16,PP19,
239,,East Bay BRT,2008,AR13,AR13,AR13,AR13,AR13,AR13,AR13,
240,,San Rafael to Larkspur Regional Connection,2013,AR15,AR15,AR15,AR15,AR15,AR15,AR16,
241,,Redlands Passenger Rail Project,2016,PP18,PP18,PP18,PP18,PP18,PP18,PP18,
242,,SPRINTER Light Rail (Oceanside-Escondido) ,2000,AR03,AR03,AR03,AR03,AR03,AR03,AR03,
242,,SPRINTER Light Rail (Oceanside-Escondido) ,2002,AR05,AR05,AR05,AR05,AR05,AR05,AR05,
242,,SPRINTER Light Rail (Oceanside-Escondido) ,2008,BA11,BA11,BA11,BA11,BA11,BA11,BA11,
243,,South LRT,1995,AR97,AR97,AR97,AR97,AR97,AR97,AR97,
243,,South LRT,1997,AR99,AR99,AR99,AR99,AR99,AR99,AR99,
243,,South LRT,1999,AR04,AR04,AR04,AR04,AR04,AR04,AR04,
244,,Downtown connector ,1998,AR00,AR00,AR00,AR00,AR00,AR00,AR00,
245,,Mid-Jordan LRT ,2007,BA16,BA16,BA16,BA16,NAV,BA16,BA16,
245,,Mid-Jordan LRT ,2008,AR11,AR11,AR11,BA16,NAV,AR11,NAV,
245,,Mid-Jordan LRT ,2009,AR11,AR11,AR11,AR11,AR11,AR11,NAV,
245,,Mid-Jordan LRT ,2011,AR10,AR10,AR10,AR10,AR10,AR10,NAV,
246,,Weber County to Salt Lake City Commuter Rail ,2003,AR05,AR05,AR07,AR05,AR05,AR05,AR07,
246,,Weber County to Salt Lake City Commuter Rail ,2005,AR07,AR07,AR07,AR07,AR07,AR07,AR07,
246,,Weber County to Salt Lake City Commuter Rail ,2006,AR07,AR07,AR07,AR07,AR07,AR07,AR07,
246,,Weber County to Salt Lake City Commuter Rail ,2008,AR10,AR10,AR10,AR10,AR10,AR10,AR10,
301,,Canal StreetcARSpine ,1995,AR00,AR00,AR00,AR00,AR00,NAV,AR01,
301,,Canal StreetcARSpine ,1997,AR05,FFGA Awarded,AR05,AR05,AR05,NAV,AR05,
301,,Canal StreetcARSpine ,2003,AR97,Preliminary Engineering,AR97,AR97,AR97,NAV,NAV,
301,,Canal StreetcARSpine ,2004,https://en.wikipedia.org/wiki/Canal_Streetcar_Line,Project Opening,NAV,NAV,NAV,NAV,NAV,
302,,CBD to university LRT ,1998,AR02,AR03,AR03,AR03,AR03,AR03,AR03,
302,,CBD to university LRT ,2000,AR05,Project Opening,AR05,AR05,AR05,AR05,AR05,
302,,CBD to university LRT ,2000,AR05,Preliminary Engineering,AR01,AR01,AR01,NAV,NAV,
302,,CBD to university LRT ,2002,AR05,Final Design,AR05,NAV,NAV,NAV,NAV,
303,,Central Avenue Bus Rapid Transit Project,2016,PP,Project Development,PP,PP,PP,NAV,PP,
304,,"Central Broward Transit Study, Phase I ",2015,https://www.broward.org/BCT/Documents/BCT_2020-29-TDPAnnualUpdate.pdf,Project Cancelled,NAV,NAV,NAV,NAV,NAV,
304,,"Central Broward Transit Study, Phase I ",2018,AR17,Project Development,PP,NAV,NAV,NAV,PP,
305,,Central Florida Commuter Rail Transit – Initial Operating Segment,2007,AR13,Final Design,AR13,AR13,AR13,NAV,AR14,
305,,Central Florida Commuter Rail Transit – Initial Operating Segment,2008,BA19,Project Opening,BA19,BA19,NAV,NAV,BA19,
305,,Central Florida Commuter Rail Transit – Initial Operating Segment,2011,AR13,Preliminary Engineering,AR13,AR13,AR13,NAV,NAV,
305,,Central Florida Commuter Rail Transit – Initial Operating Segment,2014,AR13,FFGA Awarded,AR13,AR13,AR13,NAV,NAV,
306,,Desire StreetcARLine ,2000,AR02,Preliminary Engineering,AR02,AR02,AR02,AR02,NAV,
