ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,Sponsor_1,Sponsor ID_1,Sponsor_2,Sponsor ID_2,City,State,Mode,Author
324,,North Shore LRT Connector,BA16,BA16,BA16,BA16,BA16,NTD,,,BA16,BA16,BA16,mwj
325,,Ogden/Weber State University BRT,PP19,PP19,PP19,PP19,,NTD,,,PP19,PP19,PP19,mwj
326,,Oklahoma city (Map Links),AR98,AR98,AR98,AR98,,NTD,,,AR98,AR98,AR98,mwj
327,,Oklahoma city (Map Links) Park Avenue Rail Loop,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,mwj
328,,Orlando (I-4 Central Florida Light Rail System) (MOS),AR00,AR00,AR98,AR98,,NTD,,,AR98,AR98,AR98,mwj
329,,Phase I Airport Busway/Wabash HOV Facility,AR97,AR96,AR96,AR97,,NTD,,,AR97,AR97,AR96,mwj
330,,Portal North Bridge Replacement,PP21,PP21,PP21,PP21,,NTD,,,PP21,PP21,PP21,mwj
331,,Prospect MAX Bus Rapid Transit,PP15,PP15,PP15,PP15,,NTD,,,PP15,PP15,PP15,mwj
332,,Provo-Orem Bus Rapid Transit,AR14,AR14,AR14,AR14,,NTD,,,AR14,AR14,AR14,mwj
333,,Secaucus Transfer Station,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,mwj
334,,South Corridor Rapid Transit Project,PP19,PP19,PP19,PP19,,NTD,,,PP19,PP19,PP19,mwj
335,,South Extension of the Automated Skyway Express (ASE),AR95,AR95,AR95,AR95,,NTD,,,AR95,AR95,AR95,mwj
336,,South Miami-Dade Bustway Extension,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,mwj
337,,Southtown BRT,AR97,AR97,AR05,AR09,,NTD,,,AR97,AR97,AR05,mwj
338,,Southtown Corridor,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,mwj
338,a,Southtown Corridor (Segment),AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,mwj
339,,Southwest First Coast Flyer BRT,PP17,PP17,PP17,PP17,PP17,NTD,,,PP17,PP17,PP17,mwj
340,,"St. Clair County, Illinois Corridor ",AR99,AR00,AR99,AR99,,NTD,,,AR99,AR99,AR99,mwj
340,a,"St. Clair County, Illinois Corridor (IOS-1)",AR99,AR00,AR99,AR99,,NTD,,,AR99,AR99,AR99,mwj
341,,St. Claude and Elysian Fields Streetcar Extensions,PP18,PP18,PP18,PP18,,NTD,,,PP18,PP18,PP18,mwj
342,,Stage II Light Rail Transit Reconstruction Project,AR97,AR97,AR97,AR97,,NTD,,,AR97,AR97,AR97,mwj
343,,Streetcar Expansion,PP21,PP21,AR19,PP21,,NTD,,,AR19,AR19,AR19,mwj
344,,SunRail Connector to Orlando Airport,PP18,PP18,AR17,AR17,,NTD,,,PP18,PP18,PP18,mwj
345,,SunRail Phase II North,PP14,PP14,AR15,AR15,,NTD,,,PP14,PP14,AR15,mwj
346,,SunRail Phase II South,PP17,PP17,AR14,AR14,,NTD,,,AR14,AR14,AR14,mwj
347,,Tampa Bay Regional Rail,AR05,AR05,AR05,AR05,,NTD,,,AR05,AR05,AR05,mwj
348,,Tampa Streetcar Extension Project,PP21,PP21,PP21,PP21,,NTD,,,PP21,PP21,PP21,mwj
349,,TramLinkBR,PP18,PP18,PP18,PP18,,NTD,,,PP18,PP18,PP18,mwj
350,,TRAX Light Rail System- Medical Center Extension,BA07,AR05,AR05,BA07,,NTD,,,AR05,AR05,AR05,mwj
351,,Tren Urbano,AR98,AR98,AR04,AR04,,NTD,,,AR98,AR98,AR04,mwj
352,,Tri-County Commuter Rail,AR97,AR01,AR97,AR97,,NTD,,,AR97,AR97,AR97,mwj
352,a,Tri-County Commuter Rail / Segment 5,AR01,AR01,AR01,AR01,,NTD,,,AR01,AR01,AR01,mwj
