ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode,Author
314,,I-35 Commuter Rail,1999,5,Expansion,New Starts,Kansas City ,MO,Commuter Rail,mwj
315,,JTA BRT North Corridor,2010,13,Expansion,Small Starts,Jacksonville,FL,BRT,mwj
316,,JTA BRT Southeast Corridor,2011,7,Expansion,Small Starts,Jacksonville,FL,BRT,mwj
317,,Largo Metrorail Extension,1996,2,Expansion,New Starts,Washington DC,DC,Heavy Rail,mwj
318,,"Martin Luther King, Jr. East Busway Extension",1998,3,Expansion,New Starts,Pittsburgh,PA,BRT,mwj
319,,Miami (North 27th Avenue Corridor),1997,7,Expansion,New Starts,Miami,FL,Heavy Rail,mwj
320,,Minillas Extension,1996,2,Expansion,New Starts,San Juan ,PR,Heavy Rail,mwj
321,a,Newark-Elizabeth Rail Link (MOS I),2000,5,Expansion,New Starts,Northern New Jersey,NJ,LRT,mwj
321,,Newark-Elizabeth Rail Link,1995,15,Introduction,New Starts,Northern New Jersey,NJ,LRT,mwj
324,,North Shore LRT Connector,2001,6,Expansion,New Starts,Pittsburgh,PA,LRT,mwj
325,,Ogden/Weber State University BRT,2018,13,Introduction,Small Starts,Ogden ,UT,BRT,mwj
326,,Oklahoma city (Map Links),1995,NAV,Introduction,New Starts,Oklahoma City,OK,Streetcar,mwj
327,,Oklahoma city (Map Links) Park Avenue Rail Loop,1995,NAV,Introduction,New Starts,Oklahoma City,OK,Streetcar,mwj
328,,Orlando (I-4 Central Florida Light Rail System) (MOS),1998,17,Improvement,New Starts,Orlando,FL,LRT,mwj
329,,Phase I Airport Busway/Wabash HOV Facility,1994,NAV,Expansion,New Starts,Pittsburgh,PA,BRT,mwj
330,,Portal North Bridge Replacement,2016,NA,Improvement,Core Capacity,Hudson County,NJ,Commuter Rail,mwj
331,,Prospect MAX Bus Rapid Transit,2015,26,Expansion,Small Starts,Kansas City ,MO,BRT,mwj
332,,Provo-Orem Bus Rapid Transit,2013,15,Introduction,Small Starts,Utah County,UT,BRT,mwj
333,,Secaucus Transfer Station,1994,1,Expansion,New Starts,Northern New Jersey,NJ,Commuter Rail,mwj
334,,South Corridor Rapid Transit Project,2019,16,Introduction,Small Starts,Miami,FL,BRT,mwj
335,,South Extension of the Automated Skyway Express (ASE),1991,2,Expansion,New Starts,Jacksonville,FL,LRT,mwj
336,,South Miami-Dade Bustway Extension,1998,12,Expansion,New Starts,Miami,FL,Busway ,mwj
337,,Southtown BRT,2001,NAV,Expansion,Small Starts,Kansas City ,MO,BRT,mwj
338,a,Southtown Corridor (Segment),1995,NAV,Expansion,New Starts,Kansas City ,MO,LRT,mwj
338,,Southtown Corridor,1995,NAV,Expansion,New Starts,Kansas City ,MO,LRT,mwj
339,,Southwest First Coast Flyer BRT,2015,13,Expansion,Small Starts,Jacksonville,FL,BRT,mwj
340,a,"St. Clair County, Illinois Corridor (IOS-1)",1996,8,Expansion,New Starts,St. Louis,MO,LRT,mwj
340,,"St. Clair County, Illinois Corridor ",1996,NAV,Expansion,New Starts,St. Louis,MO,LRT,mwj
341,,St. Claude and Elysian Fields Streetcar Extensions,2018,5,Expansion,Small Starts,New Orleans ,LA,Streetcar,mwj
342,,Stage II Light Rail Transit Reconstruction Project,1996,NAV,Improvement,New Starts,Pittsburgh,PA,LRT,mwj
343,,Streetcar Expansion,2017,9,Expansion,New Starts,Kansas City ,MO,Streetcar,mwj
344,,SunRail Connector to Orlando Airport,2015,NAV,Expansion,Small Starts,Orlando,FL,Commuter Rail,mwj
345,,SunRail Phase II North,2013,1,Expansion,Small Starts,Orlando,FL,Commuter Rail,mwj
346,,SunRail Phase II South,2010,4,Expansion,New Starts,Orlando,FL,Commuter Rail,mwj
347,,Tampa Bay Regional Rail,1999,24,Introduction,New Starts,Tampa Bay,FL,LRT,mwj
348,,Tampa Streetcar Extension Project,2018,8,Expansion,Small Starts,Tampa,FL,Streetcar,mwj
349,,TramLinkBR,2016,11,Expansion,Small Starts,Baton Rouge,LA,Streetcar,mwj
350,,TRAX Light Rail System- Medical Center Extension,1998,3,Expansion,New Starts,Salt Lake City,UT,LRT,mwj
351,,Tren Urbano,1996,16,Expansion,New Starts,San Juan ,PR,Heavy Rail,mwj
352,a,Tri-County Commuter Rail / Segment 5,1999,11,Improvement,New Starts,Ft. Lauderdale ,FL,Commuter Rail,mwj
352,,Tri-County Commuter Rail,1995,19,Improvement,New Starts,Ft. Lauderdale ,FL,Commuter Rail,mwj
353,,Tri-Rail Double-track Corridor Improvement,1997,5,Improvement,New Starts,Ft. Lauderdale,FL,Commuter Rail,mwj
354,,Wave Streetcar,2013,12,Introduction,Small Starts,Ft. Lauderdale,FL,Streetcar,mwj
401,,Atlanta/North Line Extension,1991,2,Expansion,New Starts,Atlanta,GA,Heavy Rail,cox
