ID,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
440,San Antonio Modern Streetcar Project,PP,Project Development,PP,PP,PP,PP,PP
441,Rail Trolley Extension ,AR-2003,Final Design,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003
442,Waco Rapid Transit Corridor,PP,Project Development,PP,PP,PP,PP,PP
443,Denver SW Corridor LRT,AR-1997,FFGA Awarded,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
443,Denver SW Corridor LRT,AR-2000,FFGA Awarded,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
443,Denver SW Corridor LRT,Spielberg,Project Opening,Spielberg,Spielberg,Spielberg,Spielberg,Spielberg
444,Denver West Corridor LRT,SR-2002,Preliminary Engineering,SR-2002,SR-2002,SR-2002,SR-2002,SR-2002
444,Denver West Corridor LRT,AR-2004,Preliminary Engineering,AR-2004,AR-2004,AR-2004,AR-2004,AR-2004
444,Denver West Corridor LRT,AR-2005,Preliminary Engineering,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005
444,Denver West Corridor LRT,AR-2006,Preliminary Engineering,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006
444,Denver West Corridor LRT,AR-2007,Final Design,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
444,Denver West Corridor LRT,AR-2008,Final Design,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008
444,Denver West Corridor LRT,AR-2009,Final Design,AR-2009,AR-2009,AR-2009,AR-2009,AR-2009
444,Denver West Corridor LRT,AR-2010,FFGA Awarded,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
445,Denver Eagle Commuter Rail (East Corridor and Gold Line),AR-2010,Preliminary Engineering,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
445,Denver Eagle Commuter Rail (East Corridor and Gold Line),AR-2011,Preliminary Engineering,AR-2011,AR-2011,AR-2011,AR-2011,AR-2011
445,Denver Eagle Commuter Rail (East Corridor and Gold Line),AR-2012,Final Design,AR-2012,AR-2012,AR-2012,AR-2012,AR-2012
445,Denver Eagle Commuter Rail (East Corridor and Gold Line),PP,FFGA Awarded,PP,PP,PP,PP,PP
446,Denver Southeast Corridor LRT ,AR-2001,Preliminary Engineering,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
446,Denver Southeast Corridor LRT ,AR-2002,FFGA Awarded,AR-2002,AR-2002,AR-2002,AR-2002,AR-2002
446,Denver Southeast Corridor LRT ,Workman,Project Opening,Workman,Workman,Workman,Workman,Workman
447,Denver Southeast Rail Extension,AR-2014,Project Development,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
447,Denver Southeast Rail Extension,AR-2016,Project Development,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016
447,Denver Southeast Rail Extension,PP,Engineering,PP,PP,PP,PP,PP
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,External Source 1,"""Hogan says no to Red Line, yes to Purple""",https://www.baltimoresun.com/politics/bs-md-hogan-transportation-20150624-story.html,,,,
,,External Source 2,2010 MBTA Annual Report,https://old.mbta.com/uploadedfiles/About_the_T/Environment/2010%20Annual%20Report.pdf,,,,
